"filename", "language", "JSON with Comments", "CSS", "JSON", "TypeScript", "HTML", "XML", "JavaScript", "Docker", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\css\libs.bundle.css", "CSS", 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 1, 6
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\css\theme.bundle.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\flags\canada.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\flags\germany.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\flags\usa.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\patterns\pattern-1.svg", "XML", 0, 0, 0, 0, 0, 394, 0, 0, 0, 0, 1, 395
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\patterns\pattern-2.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\payment\amex.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\payment\mastercard.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\payment\paypal.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\img\payment\visa.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\js\flickity.pkgd.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 48, 0, 56
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\js\theme.bundle.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\js\vendor.bundle.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\index.html", "HTML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 11, 47
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\main.server.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\main.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\styles.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\tsconfig.app.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\tsconfig.json", "JSON with Comments", 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 33
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\tsconfig.spec.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 31, 117, 12602, 1200, 1314, 444, 10, 8, 14, 293, 761, 16794
